entry_id,o3,no2,pm10,pm25,datetime,temperature,humidity,precipitation
1,5.0,33.0,48.0,42.0,2026-01-01 00:00:00,1.7,85,0.0
2,,36.0,55.0,48.0,2026-01-01 01:00:00,1.7,85,0.0
3,6.0,31.0,57.0,50.0,2026-01-01 02:00:00,1.7,85,0.0
4,9.0,,56.0,49.0,2026-01-01 03:00:00,1.7,85,0.0
5,8.0,27.0,58.0,51.0,2026-01-01 04:00:00,1.7,85,0.0
6,9.0,24.0,60.0,53.0,2026-01-01 05:00:00,1.7,85,0.0
7,11.0,26.0,63.0,55.0,2026-01-01 06:00:00,1.7,85,0.0
8,11.0,27.0,65.0,57.0,2026-01-01 07:00:00,1.7,85,0.0
9,6.0,29.0,67.0,59.0,2026-01-01 08:00:00,1.7,85,0.0
10,14.0,26.0,66.0,59.0,2026-01-01 09:00:00,1.7,85,0.0
11,21.0,23.0,65.0,58.0,2026-01-01 10:00:00,1.7,85,0.0
12,39.0,12.0,68.0,61.0,2026-01-01 11:00:00,1.7,85,0.0
13,48.0,9.0,71.0,64.0,2026-01-01 12:00:00,1.7,85,0.0
14,49.0,9.0,75.0,67.0,2026-01-01 13:00:00,1.7,85,0.0
15,52.0,10.0,75.0,67.0,2026-01-01 14:00:00,1.7,85,0.0
16,55.0,10.0,75.0,67.0,2026-01-01 15:00:00,1.7,85,0.0
17,49.0,15.0,75.0,67.0,2026-01-01 16:00:00,1.7,85,0.0
18,46.0,15.0,,,2026-01-01 17:00:00,1.7,85,0.0
19,45.0,14.0,,,2026-01-01 18:00:00,1.7,85,0.0
20,38.0,19.0,,,2026-01-01 19:00:00,1.7,85,0.0
21,39.0,17.0,,,2026-01-01 20:00:00,1.7,85,0.0
22,46.0,13.0,,,2026-01-01 21:00:00,1.7,85,0.0
23,52.0,9.0,,,2026-01-01 22:00:00,1.7,85,0.0
24,55.0,8.0,,,2026-01-01 23:00:00,1.7,85,0.0
